,rank,title,link,meta
0,1,What Chromium versions are major browsers are on?(chromium-drift.pages.dev),https://chromium-drift.pages.dev/,53 points by skaul 56 minutes ago | hide | 14 comments
1,2,Southwest Headquarters Tour(katherinemichel.github.io),https://katherinemichel.github.io/blog/travel/southwest-headquarters-tour-2026.html,30 points by KatiMichel 1 hour ago | hide | 5 comments
2,3,Mercedes-Benz commits to bringing back physical buttons(drive.com.au),https://www.drive.com.au/news/mercedes-benz-commits-to-bringing-back-phycial-buttons/,341 points by teleforce 3 hours ago | hide | 191 comments
3,4,Porsche will contest Laguna Seca in historic colors of the Apple Computer livery(porsche.com),https://newsroom.porsche.com/en_US/2026/motorsport/porsche-will-contest-laguna-seca-in-historic-colors-of-the-apple-computer-livery.html,70 points by Amorymeltzer 3 hours ago | hide | 23 comments
4,5,"For thirty years I programmed with Phish on, every day(christophermeiklejohn.com)",https://christophermeiklejohn.com/ai/personal/phish/flow/agents/2026/05/03/rift.html,117 points by azhenley 2 hours ago | hide | 81 comments
5,6,Alert-Driven Monitoring(simpleobservability.com),https://simpleobservability.com/docs/alert-driven-monitoring,57 points by khazit 4 hours ago | hide | 19 comments
6,7,What Is Z-Angle Memory and Why Is Intel Developing It?(hpcwire.com),https://www.hpcwire.com/2026/02/05/what-is-z-angle-memory-and-why-is-intel-developing-it/,39 points by rbanffy 4 hours ago | hide | 11 comments
7,8,Show HN: Apple's Sharp Running in the Browser via ONNX Runtime Web(github.com/bring-shrubbery),https://github.com/bring-shrubbery/ml-sharp-web,127 points by bring-shrubbery 8 hours ago | hide | 32 comments
8,9,Coffee doesn't just wake you up–a biological pathway illuminates health effects(sciencex.com),https://sciencex.com/news/2026-04-coffee-doesnt-key-biological-pathway.html,53 points by pseudolus 6 hours ago | hide | 37 comments
9,10,Group averages obscure how an individual's brain controls behavior: study(stanford.edu),https://med.stanford.edu/news/all-news/2026/04/brain-scans-individual-versus-group.html,90 points by hhs 9 hours ago | hide | 23 comments
10,11,A couple million lines of Haskell: Production engineering at Mercury(haskell.org),https://blog.haskell.org/a-couple-million-lines-of-haskell/,362 points by unignorant 18 hours ago | hide | 173 comments
11,12,Metal Gear Solid 2's Source Code Has Been Leaked on 4Chan(thegamer.com),https://www.thegamer.com/mgs2-hd-edition-source-code-massive-leak/,35 points by rishabhd 1 hour ago | hide | 5 comments
12,13,Embedded Rust or C Firmware? Lessons from an Industrial Microcontroller Use Case(arxiv.org),https://arxiv.org/abs/2604.25679,129 points by mrtz 6 hours ago | hide | 119 comments
13,14,This Month in Ladybird – April 2026(ladybird.org),https://ladybird.org/newsletter/2026-04-30/,458 points by richardboegli 21 hours ago | hide | 131 comments
14,15,Six Years Perfecting Maps on WatchOS(david-smith.org),https://www.david-smith.org/blog/2026/04/29/maps-on-watchos/,407 points by valzevul 20 hours ago | hide | 101 comments
15,16,Dav2d(videolan.org),https://code.videolan.org/videolan/dav2d,567 points by dabinat 1 day ago | hide | 163 comments
16,17,Haskell: Debugging(haskell.org),https://wiki.haskell.org/Debugging,23 points by tosh 5 hours ago | hide | 1 comment
17,18,Do_not_track(donottrack.sh),https://donottrack.sh/,461 points by RubyGuy 1 day ago | hide | 144 comments
18,19,A Desktop Made for One(isene.org),https://isene.org/2026/05/Audience-of-One.html,39 points by xngbuilds 2 hours ago | hide | 23 comments
19,20,Cordouan Lighthouse(wikipedia.org),https://en.wikipedia.org/wiki/Cordouan_Lighthouse,6 points by Petiver 1 hour ago | hide | discuss
20,21,Windows quality update: Progress we've made since March(windows.com),https://blogs.windows.com/windows-insider/2026/05/01/windows-quality-update-progress-weve-made-since-march/,136 points by jovial_cavalier 12 hours ago | hide | 394 comments
21,22,Breaking Up with WordPress After Two Decades(yusufaytas.com),https://yusufaytas.com/breaking-up-with-wordpress-after-two-decades,52 points by owenbuilds 3 hours ago | hide | 24 comments
22,23,"Neanderthals ran 'fat factories' 125,000 years ago (2025)(universiteitleiden.nl)",https://www.universiteitleiden.nl/en/news/2025/07/neanderthals-ran-fat-factories-125000-years-ago,262 points by andsoitis 21 hours ago | hide | 143 comments
23,24,Show HN: I built a RISC-V emulator that runs DOOM(github.com/lalitshankarch),https://github.com/lalitshankarch/rvcore,16 points by Flex247A 6 hours ago | hide | discuss
24,25,Largest electric autonomous container ship begins commercial service(chinadaily.com.cn),https://global.chinadaily.com.cn/a/202604/16/WS69e0ee90a310d6866eb43dd4.html,8 points by Geekette 1 hour ago | hide | 1 comment
25,26,Utilyze measures how efficiently your GPU is doing useful work(github.com/systalyze),https://github.com/systalyze/utilyze,40 points by nateb2022 8 hours ago | hide | 10 comments
26,27,The Oscars Just Banned AI from Winning Acting and Writing Awards(gizmodo.com),https://gizmodo.com/the-oscars-just-banned-ai-from-winning-acting-and-writing-awards-2000753740,6 points by ZeidJ 28 minutes ago | hide | discuss
27,28,Care homes and hotels in Japan shut as expansion strategy unravels(newsonjapan.com),https://www.newsonjapan.com/article/149075.php,95 points by mikhael 16 hours ago | hide | 36 comments
28,29,Inventions for battery reuse and recycling increase seven-fold in last decade(epo.org),https://www.epo.org/en/news-events/news/inventions-battery-reuse-and-recycling-increase-more-seven-fold-last-decade,232 points by JeanKage 1 day ago | hide | 31 comments
29,30,VS Code inserting 'Co-Authored-by Copilot' into commits regardless of usage(github.com/microsoft),https://github.com/microsoft/vscode/pull/310226,1417 points by indrora 22 hours ago | hide | 766 comments
